_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43eaa851eceec5c3085111,淘集集,500-2000人,数据分析,2019-07-29,上海,本科,BI数据分析师,福利待遇、发展前景、公司氛围,经验5-10年,20k-40k,B轮,电商
5d43eaa951eceec5c3085112,曙星网络,15-50人,数据分析,2019-08-0214:09:00,上海,本科,风控数据分析师,公司福利多多,经验1-3年,10k-20k,不需要融资,"电商,金融"
5d43eaa951eceec5c3085113,美团点评,2000人以上,数据分析,2019-07-29,上海,本科,数据分析运营,大平台，核心业务,经验3-5年,15k-25k,上市公司,消费生活
5d43eaab51eceec5c3085114,毒APP,500-2000人,数据分析,2019-07-30,上海,本科,风控数据分析师（偏数据建模）,一年多薪 核心产品 扁平管理 氛围好,经验3-5年,20k-35k,B轮,"移动互联网,电商"
5d43eaab51eceec5c3085115,2345.com,500-2000人,数据分析,2019-08-0209:21:00,上海,本科,大数据开发工程师（数据分析）,"A股上市,风口项目,待遇丰厚,氛围融洽",经验3-5年,15k-30k,上市公司,"数据服务,移动互联网"
5d43eaab51eceec5c3085116,MarcPoint,15-50人,数据分析,2019-08-01,上海,本科,商业数据分析,工作氛围open 优秀团队 薪资福利好,经验1-3年,10k-15k,A轮,"电商,广告营销"
5d43eaab51eceec5c3085117,旺旺集团,2000人以上,数据分析,2019-07-10,上海,大专,销售数据分析,数据分析,经验1-3年,6k-8k,上市公司,"电商,移动互联网"
5d43eaab51eceec5c3085118,快牛金科,500-2000人,数据分析,2019-07-30,上海,本科,BI数据分析师,五险一金 带薪年假 年底N薪 年度旅游,经验3-5年,20k-25k,B轮,其他
5d43eaab51eceec5c3085119,平安人寿,2000人以上,数据分析,2019-08-01,上海,本科,02215M-BI数据分析师,"五险一金,带薪年假,年终分红,免费班车",经验1年以下,10k-18k,上市公司,金融
5d43eaac51eceec5c308511a,Shopee,2000人以上,数据分析,2019-08-0210:13:00,上海,本科,BI Manager - BI数据分析经理,"跨境电商,东南亚市场,老板强,工作氛围赞",经验5-10年,14k-18k,上市公司,电商
5d43eaac51eceec5c308511b,海万科技,500-2000人,数据分析,2019-07-19,上海,本科,bi数据分析师,大项目，大平台,经验3-5年,12k-18k,不需要融资,"移动互联网,金融"
